ID;фамилия;имя;отчество;пол;дата рождения;номер полиса ОМС;СНИЛС ВРАЧА;ISHL;ISHOB
167660863;ИваАЙ;ИваР;ИваРЕВИЧ;М;01.03.2001;1234567736000827;010-219-152 76;306;314
167660864;ИваЦКАЯ;ИваЕРИЯ;ИваНИСЛАВОВНА;Ж;01.01.2017;1234567783000842;010-219-152 76;301;301
167660865;ИваГИН;ИваСТАНТИН;ИваЛАНОВИЧ;М;01.12.2010;1234567735001191;047-917-971 08;303;304
167660866;ИваУС;ИваИТА;ИваРЕЕВИЧ;М;01.11.2008;1234567721000477;047-917-971 08;306;314
167660867;ИваАПЕНКО;ИваЕНИЯ;ИваАНОВНА;Ж;01.11.2009;1234567795000314;010-219-152 76;301;301
167660868;ИваДАРЕВ;ИваЛАН;ИваДИМИРОВИЧ;М;01.06.2009;1234567739000662;010-219-152 76;301;301
167660869;ИваСКИХ;Ива;ИваТОЛЬЕВНА;Ж;01.01.2022;1234567795000400;010-219-152 76;306;314
167660870;ИваЕЛЬКИНА;ИваНА;ИваРЕВНА;Ж;01.01.2009;1234567769000212;047-917-971 08;301;301
167660871;ИваОВАЧЕВА;ИваИЛИСА;ИваКСЕЕВНА;Ж;01.12.2017;1234567794000545;159-520-309 69;303;304
167660872;ИваИМОВА;Ива;ИваИЛЕВНА;Ж;01.06.2008;1234567788000566;036-590-949 84;306;314
167660873;ИваИКОВА;ИваКСАНДРА;ИваКСАНДРОВНА;Ж;01.07.2009;1234567797000589;195-563-071 01;306;314
167660874;ИваАКОВА;ИваИЯ;ИваГЕЕВНА;Ж;01.12.2007;1234567772000094;195-563-071 01;306;314
167660875;ИваРОВ;ИваКСЕЙ;ИваГЕЕВИЧ;М;01.11.2016;1234567730000739;047-917-971 08;303;304
167660876;ИваОУСОВ;ИваН;ИваРЕЕВИЧ;М;01.11.2017;1234567722000104;047-917-971 08;306;314
167660877;ИваЕНКО;ИваТРИЙ;ИваКСАНДРОВИЧ;М;01.04.2007;1234567719000066;070-248-074 37;306;314
167660878;ИваЕЛОВ;ИваТРИЙ;ИваРОВИЧ;М;01.06.2014;1234567744000296;036-590-949 84;306;314
167660879;ИваРЯШОВ;ИваОЛАЙ;ИваИСОВИЧ;М;01.01.2021;1234567740000634;159-520-309 69;306;314
167660880;ИваАР;Ива;ИваГОРЬЕВНА;Ж;01.06.2009;1234567770000173;195-563-071 01;306;314
167660881;ИваУШЕВА;ИваНИЯ;ИваОЛАЕВНА;Ж;01.12.2008;1234567769000154;195-563-071 01;306;314
167660882;ИваЯК;ИваТРИЙ;ИваАЙЛОВИЧ;М;01.05.2009;1234567725000790;195-563-071 01;306;314
167660883;ИваШИК;ИваТЕРИНА;ИваАЙЛОВНА;Ж;01.01.2008;1234567787000081;195-563-071 01;306;314
167660884;ИваОФЕЕВ;ИваК;ИваЕНЬЕВИЧ;М;01.03.2009;1234567739000321;195-563-071 01;306;314
167660885;ИваЬКО;ИваОН;ИваДИМИРОВИЧ;М;01.12.2009;1234567736000655;195-563-071 01;306;314
167660886;ИваНЕЦОВ;ИваДИСЛАВ;ИваИСОВИЧ;М;01.08.2009;1234567731000480;195-563-071 01;306;314
167660887;ИваОНЕНКО;ИваЛЕТТА;ИваКСЕЕВНА;Ж;01.05.2009;1234567776000319;195-563-071 01;306;314
167660888;ИваЕЛЬ;ИваКСАНДР;ИваАЛЬЕВИЧ;М;01.09.2009;1234567739000681;195-563-071 01;306;314
167660889;ИваОГЛАЗОВ;ИваСИМ;ИваГЕЕВИЧ;М;01.10.2009;1234567722000477;195-563-071 01;306;314
